十單組(1),名稱,,風雲組(6),名稱,,,寶可夢組(9),名稱,,,狩魔組(0),名稱,,幽魔組(3),名稱,,,,奇兵組(0),名稱,,白蘭地組(0),名稱,,殘兵黃鴨組(0),名稱,,特別行動組(0),名稱,,,,總人數,203
11,神聖衣,,11,風雲丨變化球,,,11,金色大懶蟲,,,11,劉辰,,,,,,,11,奇兵丨露營,,11,黑黑團 22666,,11,達非鴨,,,,,,,,
12,十單丨糕普,,12,風雲丨擋百,,,12,一二三四五,,,12,狩丨天使,,,,,,,12,奇兵丨老爺,,12,三國魂唐賢 2039063,,12,小黃鴨,,,,,,,,
13,十單丨初風,,13,風雲丨胡爐,,*,13,大懶蟲,,,13,圓圓擱圓圓,,,,,,,13,TO,,13,雪魄 JIM 281128,,13,范姜彥豐(貴哥),,,,,,,,
14,十單丨天師,,14,風雲丨可達鴨,,,14,源哥丨火火,,,14,鑨丨連登之子,,,,,,,14,无丨無課米高,,14,河本鬼茂 662555,,14,操阿粿,,,,,,,,
15,十單丨呀呢,,15,初衷丨探汁郎,,,15,源哥丨阿斌,,,15,葵仔,,,,,,,15,曼陀珠,,15,曹鯊  236927,,15,山下智酒,,,,,,,,
16,十單丨Cy,,16,初衷丨路卡撐,,,16,源哥丨婆婆,,,16,狩丨瞞,,,,,,,16,神隱軒轅,,16,古艾迪兒 51371,,16,湯餃克魯斯,,,,,,,,
17,十單丨小飛象,,17,風雲丨羊祜,,,17,源哥丨污染,,,17,嚎大大貢丸,,,,,,,17,奇兵｜露露,,,,,17,吳昂,,,,,,,,
18,十單丨夜歌,,18,銀麒,,*,18,酷丨歐州派,,,18,狩丨蓋亞,,,,,,,18,惡夢乄罐頭,,,,,18,囂告太陽神,,,,,,,,
19,十單丨年華,,19,吉川嘉旗,,,19,酷丨黑香蕉,,,19,喵姆,,,,,,,19,奇兵丨當肯,,,,,19,暗部兔兔,,,,,,,,
20,秦風丨天子,,20,Cutter,,,20,酷 | 黑卡夫,,,,,,,,,,,20,惡夢乄魔聖君,,,,,20,大熊座憿,,,,,,,,
21,碌柒丨風飛雪,*,21,風雲丨莫名,,,21,山頂小毒蛇,,,,,,,,,,,21,魚丨筿玥,,,,,21,櫛瓜史塔森,,,,,,,,
22,十單丨天狼,,22,風雲丨咖哩豆,,*,22,酷丨阿貴,,,,,,,,,,,22,惡夢乄白蓿苜,,,,,22,鏡常威,,,,,,,,
23,戳丨震九霄,,23,風雲丨小熊,,*,23,酷丨小屁孩,,,,,,,,,,,23,能高安東軍,,,,,23,別急劉李奧,,,,,,,,
24,戳丨小年華,,24,里長伯｜玄董,,,24,酷丨南哥,,,,,,,,,,,,,,,,,24,夜逆,,,,,,,,
25,戳丨玻璃心,,25,熊寶貝,,,25,酷丨襠破洞,,,,,,,,,,,,,,,,,25,暗部鷲倪,,,,,,,,
26,戳丨小黏滑,,26,宇智波・班,,,,,,,,,,,,,,,,,,,,,26,九變,,,,,,,,
27,戳丨小柚子,,27,戮|Yue,,*,,,,,,,,,,,,,,,,,,,27,旅愁,,,,,,,,
28,惡哞丨輝寶,,,,,,,,,,,,,,,,,,,,,,,,28,躁丨溫酒斬,,,,,,,,
29,露比醬丨嗨,,,,,,,,,,,,,,,,,,,,,,,,29,偃月,,,,,,,,
30,雲雲雲雲雲,,,,,,,,,,,,,,,,,,,,,,,,30,買了百,,,,,,,,
31,天女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,肥寶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,十單丨阿鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,十單丨米飯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
